RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
520,2013,0.0,3.0,1.0,4.0,4.0,4.0
523,2013,0.0,1.0,1.0,4.0,4.0,4.0
525,2013,0.0,1.0,0.0,4.0,4.0,4.0
526,2013,0.0,3.0,1.0,1.0,4.0,5.0
527,2013,0.0,2.0,0.0,5.0,4.0,5.0
528,2013,0.0,2.0,1.0,4.0,5.0,5.0
529,2013,1.0,3.0,1.0,5.0,4.0,5.0
530,2013,1.0,1.0,1.0,1.0,1.0,5.0
531,2013,1.0,2.0,1.0,,4.0,3.0
536,2013,0.0,2.0,1.0,2.0,2.0,5.0
538,2013,1.0,2.0,1.0,2.0,3.0,2.0
539,2013,1.0,1.0,1.0,2.0,2.0,5.0
540,2013,1.0,3.0,1.0,5.0,5.0,4.0
542,2013,1.0,4.0,1.0,1.0,1.0,4.0
543,2013,1.0,3.0,1.0,1.0,4.0,3.0
544,2013,0.0,4.0,1.0,5.0,5.0,2.0
547,2013,0.0,2.0,1.0,2.0,4.0,3.0
555,2013,0.0,0.0,1.0,1.0,1.0,1.0
556,2013,1.0,2.0,1.0,5.0,5.0,3.0
558,2013,1.0,2.0,0.0,1.0,1.0,5.0
559,2013,1.0,3.0,1.0,2.0,4.0,5.0
560,2013,0.0,2.0,0.0,2.0,2.0,5.0
561,2013,0.0,2.0,1.0,1.0,1.0,5.0
563,2013,1.0,2.0,1.0,1.0,2.0,4.0
564,2013,0.0,2.0,1.0,4.0,3.0,5.0
566,2013,1.0,3.0,0.0,1.0,4.0,5.0
572,2013,0.0,3.0,1.0,2.0,4.0,4.0
574,2013,1.0,2.0,1.0,2.0,1.0,5.0
579,2013,0.0,2.0,1.0,3.0,5.0,4.0
580,2013,1.0,2.0,1.0,2.0,5.0,5.0
581,2013,0.0,3.0,1.0,5.0,2.0,4.0
582,2013,0.0,3.0,1.0,2.0,4.0,2.0
583,2013,0.0,2.0,1.0,4.0,1.0,4.0
593,2013,0.0,2.0,1.0,1.0,1.0,1.0
594,2013,0.0,2.0,0.0,3.0,5.0,5.0
598,2013,1.0,1.0,0.0,2.0,3.0,5.0
600,2013,0.0,1.0,1.0,1.0,5.0,4.0
601,2013,1.0,2.0,1.0,5.0,5.0,1.0
603,2013,1.0,0.0,1.0,5.0,5.0,4.0
604,2013,1.0,3.0,1.0,5.0,5.0,4.0
607,2013,0.0,2.0,0.0,3.0,3.0,2.0
608,2013,1.0,2.0,0.0,4.0,3.0,5.0
609,2013,0.0,3.0,0.0,2.0,3.0,5.0
610,2013,0.0,2.0,0.0,4.0,1.0,5.0
611,2013,1.0,1.0,1.0,2.0,3.0,5.0
612,2013,1.0,3.0,1.0,4.0,3.0,5.0
615,2013,1.0,2.0,1.0,2.0,3.0,4.0
616,2013,0.0,3.0,1.0,5.0,5.0,5.0
617,2013,1.0,3.0,1.0,3.0,4.0,5.0
620,2013,1.0,0.0,0.0,5.0,5.0,5.0
622,2013,1.0,2.0,0.0,1.0,1.0,5.0
623,2013,1.0,3.0,1.0,,,
624,2013,1.0,1.0,1.0,2.0,4.0,4.0
625,2013,0.0,2.0,0.0,1.0,1.0,4.0
628,2013,0.0,2.0,0.0,2.0,1.0,5.0
629,2013,0.0,3.0,1.0,2.0,2.0,3.0
630,2013,1.0,2.0,1.0,2.0,5.0,4.0
631,2013,0.0,1.0,0.0,2.0,3.0,5.0
632,2013,0.0,3.0,0.0,3.0,4.0,4.0
633,2013,1.0,1.0,0.0,4.0,4.0,3.0
636,2013,0.0,2.0,0.0,3.0,4.0,5.0
637,2013,0.0,3.0,1.0,1.0,2.0,5.0
640,2013,0.0,0.0,1.0,1.0,3.0,3.0
641,2013,1.0,3.0,1.0,3.0,4.0,4.0
644,2013,1.0,3.0,0.0,4.0,5.0,4.0
645,2013,1.0,3.0,1.0,4.0,1.0,4.0
647,2013,1.0,1.0,1.0,3.0,2.0,4.0
648,2013,1.0,3.0,0.0,5.0,1.0,4.0
649,2013,0.0,1.0,0.0,5.0,3.0,5.0
651,2013,0.0,3.0,0.0,4.0,4.0,4.0
653,2013,0.0,2.0,1.0,3.0,1.0,1.0
656,2013,1.0,2.0,1.0,2.0,2.0,5.0
658,2013,0.0,1.0,1.0,1.0,1.0,4.0
660,2013,1.0,2.0,1.0,1.0,2.0,4.0
663,2013,0.0,0.0,1.0,4.0,5.0,4.0
668,2013,1.0,2.0,1.0,1.0,3.0,5.0
669,2013,1.0,4.0,0.0,2.0,5.0,5.0
675,2013,0.0,2.0,1.0,,,
677,2013,0.0,0.0,0.0,,,
678,2013,1.0,2.0,1.0,4.0,5.0,1.0
679,2013,1.0,2.0,0.0,5.0,5.0,2.0
680,2013,0.0,1.0,1.0,1.0,4.0,4.0
681,2013,1.0,3.0,0.0,4.0,5.0,4.0
682,2013,1.0,3.0,0.0,4.0,4.0,1.0
683,2013,1.0,4.0,1.0,1.0,1.0,4.0
686,2013,1.0,2.0,0.0,1.0,1.0,5.0
687,2013,1.0,2.0,1.0,1.0,1.0,3.0
688,2013,1.0,2.0,1.0,3.0,4.0,5.0
690,2013,1.0,3.0,0.0,3.0,2.0,4.0
